-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               cudaFree         0.65%     144.971ms         0.65%     144.971ms      72.486ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                          aten::squeeze         0.50%     110.555ms         0.61%     136.806ms       6.478us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         21120  
                                         aten::_softmax         0.38%      85.435ms         0.60%     133.796ms      25.283us      69.634ms         1.23%      79.187ms      14.964us           0 b           0 b      14.34 Gb      14.34 Gb          5292  
                                     aten::_unsafe_view         0.51%     114.648ms         0.51%     114.648ms       2.401us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         47741  
                                             aten::prod         0.44%      97.169ms         0.48%     106.527ms     645.618us     738.000us         0.01%       1.470ms       8.909us           0 b           0 b      82.50 Kb      -2.00 Kb           165  
                                        aten::unsqueeze         0.32%      71.000ms         0.34%      75.985ms       6.562us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         11580  
                                           aten::detach         0.07%      14.681ms         0.25%      56.720ms       8.567us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          6621  
                                            aten::empty         0.24%      53.215ms         0.24%      53.471ms       7.305us       0.000us         0.00%       0.000us       0.000us      12.96 Gb      12.96 Gb     485.72 Mb     485.72 Mb          7320  
                                                 detach         0.20%      43.505ms         0.20%      43.505ms       6.571us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          6621  
                                           aten::einsum         0.01%       1.690ms         0.19%      43.115ms       1.347ms       0.000us         0.00%       0.000us       0.000us      32.00 Mb           0 b           0 b           0 b            32  
                                         prims::uniform         0.18%      40.702ms         0.19%      41.510ms     184.489us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           225  
                                          aten::detach_         0.10%      22.273ms         0.11%      25.038ms       4.308us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          5812  
                                             aten::tile         0.01%       1.798ms         0.09%      20.316ms     123.127us       0.000us         0.00%     421.000us       2.552us           0 b           0 b      82.50 Kb       4.00 Kb           165  
                                           aten::repeat         0.02%       4.013ms         0.09%      19.333ms     117.170us       0.000us         0.00%     429.000us       2.600us           0 b           0 b      82.50 Kb           0 b           165  
                                  cudaStreamSynchronize         0.09%      19.195ms         0.09%      19.195ms      25.059us      44.000us         0.00%      44.000us       0.057us           0 b           0 b           0 b           0 b           766  
                                        aten::embedding         0.01%       2.879ms         0.08%      18.119ms     107.851us       0.000us         0.00%     980.000us       5.833us           0 b           0 b      15.83 Mb           0 b           168  
                                   aten::_reshape_alias         0.08%      17.420ms         0.08%      17.420ms       3.238us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          5380  
                                              aten::cos         0.07%      16.051ms         0.07%      16.051ms     501.594us       0.000us         0.00%       0.000us       0.000us      64.00 Mb      64.00 Mb           0 b           0 b            32  
                                              aten::sub         0.05%      10.889ms         0.07%      16.026ms      32.310us       1.097ms         0.02%       1.513ms       3.050us           0 b           0 b      10.09 Mb      10.09 Mb           496  
                                             aten::rsub         0.02%       3.698ms         0.07%      14.535ms      43.912us       0.000us         0.00%     813.000us       2.456us         416 b         416 b       7.61 Mb           0 b           331  
                                     aten::index_select         0.03%       6.078ms         0.06%      14.048ms      83.619us     787.000us         0.01%     980.000us       5.833us           0 b           0 b      15.83 Mb           0 b           168  
                                              aten::sin         0.06%      14.008ms         0.06%      14.008ms     437.750us       0.000us         0.00%       0.000us       0.000us      64.00 Mb      64.00 Mb           0 b           0 b            32  
